archive_id,platform,space,chain,proposal_number,title,source_url,voter,voter_ens_name,choice_json,votes_raw,vp,vp_by_strategy_json,reason,created,timestamp,ipfs,transaction_hash
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x6b67623ff56c10d9dcfc2152425f90285fc74ddd,,"""FOR""",66,,null,,,1773861661,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0xaaed9fff9858d48925904e391b77892ba5fda824,,"""FOR""",4,,null,"Will and Zima do a job that not only keeps Gnars social media and media presence alive, they maintain the aesthetics, branding, and awareness for the DAO, and everyone benefits from it. 

Keep pushing! ✨",,1773856229,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0xae4705dc0816ee6d8a13f1c72780ec5021915fed,,"""FOR""",0,,null,nice,,1773848027,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x2feb329b9289b60064904fa61fc347157a5aed6a,,"""FOR""",61,,null,$34,,1773843477,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x33bbf6e27ce7b254e537bcb9f3b00cd1451563ea,,"""ABSTAIN""",14,,null,"INTERESTING MECHANISM FOR REWARDING THE COMMUNITY. I think it risks the investment; it's more of a gift for the community. We need to think of a way to manage it well so that the prizes stay in the hands of different people who participate and do more than just farm dollars and NFTs. I would go for it, but it seems to me that it's something that won't last more than 3 months. These types of programs attract a lot of people but few real ones. Promising less and working more should be what we offer to athletes.",,1773843447,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x1273261b09dc30d0b6ce460d7cab5820fa42e38c,,"""FOR""",4,,null,I believe in this team. They've been doing a good job and I'm sure they'll continue to do so.,,1773841491,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x4322d6b24bda8af69dd1014c4f29138f6d794ada,,"""FOR""",31,,null,,,1773794699,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x056d8e22759a9ae9359a21749c6d7d6c12d97177,,"""FOR""",5,,null,⌐◨🤘◨,,1773791531,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x356d8dac5f0da039dcc3e22c8b42fde00e79f7e6,,"""AGAINST""",7,,null,$35,,1773784733,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0xdfb6ed808fadddad9154f5605e349fff96e3d939,,"""FOR""",39,,null,for Skate Africa Crew to shine more on Media Pod,,1773784681,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0xd1195629d9ba1168591b8ecdec9abb1721fcc7d8,,"""FOR""",9,,null,,,1773782769,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d,,"""FOR""",41,,null,ai namoral tenho orgulho de chamar voces de amigo,,1773782553,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0xdcf37d8aa17142f053aaa7dc56025ab00d897a19,,"""FOR""",111,,null,⌐◨-◨,,1773774317,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x8bf5941d27176242745b716251943ae4892a3c26,,"""FOR""",151,,null,its a sexual pleasure work along side with you guys,,1773772121,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,,"""FOR""",16,,null,keep up the great work bros ⌐◨-◨,,1773764411,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x8ab97fe0c2899d13e11c094660b472ed61c6f6e6,,"""FOR""",1,,null,,,1773763765,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x057cfcd04198e6d17f1bf502135d9508b6fa2fde,,"""FOR""",59,,null,"The proposal is impressive, with a vision, and above all, it demonstrates trust and commitment.",,1773750505,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0xddb4938755c243a4f60a2f2f8f95df4f894c58cc,,"""FOR""",10,,null,"The idea is to continue strengthening this collective construction that Gnars has been developing over the years, contributing in a practical way and being present in the DAO day/to/day.

Active participation in the creative flow and in the initiatives that keep everything moving. There is great value in the consistency of the team that is constantly thinking, testing, and creating, and that’s the energy we’re focused on. We see a lot of potential in continuing to push our communication channels forward, with dynamics that bring the community even closer together.

let’s go guys!  ⌐⬛-⬛
",,1773750113,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x3a7b8d37cb2da4c3b7c897421d90f42cc015d68d,,"""FOR""",3,,null,,,1773747931,,
gnars-base-119,gnars.com,gnars-dao,base,119,Pod Media Strategy - Q1 2026 ,https://www.gnars.com/proposals/base/119,0x49d31dcb59e115f5c9e505a58a323ade076f2176,,"""FOR""",2,,null,,,1773725879,,
